,time,value
578,2021052502,95.509995
579,2021052503,94.47
580,2021052504,92.18
581,2021052505,81.84999
582,2021052506,67.18
583,2021052507,60.989998
584,2021052508,61.73
585,2021052509,58.66
586,2021052510,59.96
587,2021052511,72.549995
588,2021052512,76.21
589,2021052513,72.18
590,2021052514,69.98
591,2021052515,69.11
592,2021052516,62.850002
593,2021052517,58.030003
594,2021052518,55.309998
595,2021052519,65.07
596,2021052520,78.82
597,2021052521,84.67
598,2021052522,90.31
599,2021052523,97.55
600,2021052600,103.23536
601,2021052601,104.762634
602,2021052602,104.37065
603,2021052603,101.16703
604,2021052604,101.76612
605,2021052605,96.49499
606,2021052606,91.28923
607,2021052607,80.45175
608,2021052608,65.82863
609,2021052609,64.71668
610,2021052610,64.38186
611,2021052611,62.873306
612,2021052612,68.33831
613,2021052613,69.20489
614,2021052614,66.612816
615,2021052615,66.68047
616,2021052616,58.643394
617,2021052617,57.695736
618,2021052618,59.48387
619,2021052619,61.463936
620,2021052620,67.62853
621,2021052621,73.70178
622,2021052622,77.0304
623,2021052623,92.79731
624,2021052700,100.49658
625,2021052701,104.644714
626,2021052702,108.35101
627,2021052703,105.81852
628,2021052704,105.13244
629,2021052705,102.70341
630,2021052706,102.98137
631,2021052707,91.76925
632,2021052708,82.15385
633,2021052709,74.78541
634,2021052710,63.59036
635,2021052711,67.677765
636,2021052712,69.7459
637,2021052713,72.78328
638,2021052714,73.963394
639,2021052715,72.68071
640,2021052716,62.14709
641,2021052717,59.09578
642,2021052718,56.129696
643,2021052719,57.175186
644,2021052720,62.747646
645,2021052721,66.13392
646,2021052722,71.167404
647,2021052723,78.917564
648,2021052800,82.57943
649,2021052801,85.77903
650,2021052802,95.93
651,2021052803,92.85999
652,2021052804,84.54
653,2021052805,78.81
654,2021052806,70.78
655,2021052807,59.039997
656,2021052808,59.68
657,2021052809,60.530003
658,2021052810,58.409996
659,2021052811,65.68
660,2021052812,75.04
661,2021052813,73.76
662,2021052814,69.4
663,2021052815,70.65
664,2021052816,74.23
665,2021052817,63.07
666,2021052818,52.51
667,2021052819,61.28
668,2021052820,79.35
669,2021052821,83.49
670,2021052822,88.42
671,2021052823,96.29
672,2021052900,98.829994
673,2021052901,100.6
674,2021052902,100.06
675,2021052903,96.94
676,2021052904,94.81999
677,2021052905,94.58
678,2021052906,91.159996
679,2021052907,89.83
680,2021052908,82.74
681,2021052909,78.32
